Report_Date,Q1'14,Q2'14,Q3'14,Q4'14,Q1'15,Q2'15,Q3'15,Q4'15,Q1'16,Q2'16,Q3'16,Q4'16,Q1'17,Q2'17,Q3'17,Q4'17,Q1'18,Q2'18,Q3'18,Q4'18,Q1'19,Q2'19,Q3'19,Q4'19,Q1'20,Q2'20,Q3'20,Q4'20,Q1'21,Q2'21,Q3'21,Q4'21,Q1'22,Q2'22,Q3'22,Q4'22,Q1'23,Q2'23,Q3'23,Q4'23,Q1'24,Q2'24,Q3'24,Q4'24,Q1'25,Q2'25,Q3'25,Q4'25,Q1'26,Q2'26,Q3'26,Q4'26,Confidence
2016-12-09,27.85,29.67,29.96,30.33,28.43,29.92,30.18,29.72,26.96,29.46,31.35*,30.86*,30.61*,32.64*,34.18*,35.2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
2016-12-16,27.85,29.67,29.96,30.33,28.43,29.92,30.18,29.72,26.96,29.46,31.35*,30.88*,30.6*,32.65*,34.26*,35.23*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
2016-12-23,27.85,29.67,29.96,30.33,28.43,29.92,30.18,29.72,26.96,29.46,31.35*,30.86*,30.55*,32.6*,34.2*,35.16*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
2017-01-06,27.85,29.67,29.96,30.33,28.43,29.92,30.18,29.72,26.96,29.46,31.35*,30.88*,30.54*,32.64*,34.22*,35.19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
2017-01-13,,29.67,29.96,30.33,28.43,29.92,30.18,29.72,26.96,29.46,31.35,30.82*,30.54*,32.66*,34.21*,35.16*,34.31*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
2017-01-20,,29.67,29.96,30.33,28.43,29.92,30.18,29.72,26.96,29.46,31.35,31.0*,30.51*,32.7*,34.28*,35.22*,34.59*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
2017-01-27,,29.67,29.96,30.33,28.43,29.92,30.18,29.72,26.96,29.46,31.35,31.11*,30.37*,32.55*,34.35*,35.36*,34.34*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
2017-02-03,,29.67,29.96,30.33,28.43,29.92,30.17,29.72,26.96,29.46,31.35,31.36*,30.04*,32.34*,34.14*,35.31*,34.07*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
2017-02-10,,29.67,29.96,30.33,28.43,29.92,30.17,29.72,26.96,29.46,31.35,31.45*,29.81*,32.23*,34.05*,35.22*,33.79*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
2017-02-17,,29.67,29.96,30.33,28.43,29.92,30.17,29.72,26.96,29.46,31.35,31.34*,29.75*,32.19*,34.01*,35.24*,33.66*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
2017-03-02,,29.67,29.96,30.33,28.43,29.92,30.17,29.72,26.96,29.46,31.35,31.4*,29.59*,32.11*,34.0*,35.25*,33.54*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
2017-03-09,,30.23,30.54,30.97,29.01,30.22,30.3,29.84,27.08,29.6,31.38,31.44*,29.58*,32.13*,34.04*,35.33*,33.6*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
2017-03-17,,30.23,30.54,30.97,29.01,30.22,30.3,29.84,27.07,29.59,31.38,31.42*,29.52*,32.09*,33.98*,35.29*,33.59*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
2017-03-24,,30.23,30.54,30.97,29.01,30.22,30.3,29.84,27.07,29.59,31.38,31.41*,29.56*,32.05*,33.95*,35.26*,33.55*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
2017-03-31,,30.23,30.54,30.97,29.01,30.22,30.3,29.84,27.07,29.59,31.38,31.44*,29.49*,32.11*,34.0*,35.32*,33.58*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
2017-04-07,,,30.54,30.97,29.01,30.22,30.3,29.84,27.07,29.59,31.38,31.44,29.4*,32.05*,33.98*,35.34*,33.6*,36.07*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
2017-04-14,,,30.54,30.97,29.01,30.22,30.34,29.87,27.1,29.62,31.42,31.47,29.36*,32.08*,34.02*,35.38*,33.67*,36.06*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
2017-04-28,,,30.52,30.94,28.98,30.2,30.33,29.87,27.1,29.62,31.42,31.47,30.15*,31.89*,33.99*,35.47*,33.73*,36.09*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
